name,url,selector,sendMode,enterKey,copySelectors,hoverCopySelectors,formCopySelector,clickSelector,skipVerification,selectorExists,clickSelectorExists,tags
"ChatGPT","https://chatgpt.com/","#prompt-textarea","pressKey","Enter","[data-testid='copy-turn-action-button']","","","","false","✅","⏩","['tier1', 'USA']"
"Google AI Studio","https://aistudio.google.com/prompts/new_chat","textarea[aria-label='Type something']","pressKey","Control+Enter",".model button[aria-label='Open options'],span:contains('Copy text')","div.model","","","false","✅","⏩","['tier2', 'USA', 'Google']"
"Gemini","https://gemini.google.com/","div.ql-editor","pressKey","Enter","button.more-menu-button,button[data-test-id='copy-button']","","","","false","✅","⏩","['tier1', 'USA', 'Google']"
"Microsoft 365 Copilot","https://copilot.cloud.microsoft/","iframe[title='Copilot'] |> #m365-chat-editor-target-element","pressKey","Enter","iframe[title='Copilot'] |> span[data-automationid='splitbuttonprimary']","","","","true","❔","❔","['tier2', 'USA', 'Microsoft', 'Business']"
"Microsoft Copilot","https://copilot.microsoft.com/","textarea#userInput","pressKey","Enter","button[data-testid='copy-message-button']","div[data-content='ai-message']","","","false","✅","⏩","['tier1', 'USA', 'Microsoft']"
"Grok","https://grok.com/","textarea[dir='auto']","pressKey","Enter","div:nth-child(2) > .relative .inline-flex:nth-child(2)","","","","false","✅","⏩","['tier3', 'USA']"
"Claude","https://claude.ai/","div[contenteditable='true']","pressKey","Enter","svg[data-testid='action-bar-copy']","","","","true","❔","❔","['tier2', 'tier1', 'USA']"
"Perplexity AI","https://www.perplexity.ai/","textarea[autofocus='']","pressKey","Enter","","","","","false","✅","⏩","['tier2', 'USA']"
"Mistral AI","https://chat.mistral.ai/","textarea[autofocus='']","pressKey","Enter","svg[class='lucide lucide-copy']","","","","false","✅","⏩","['tier3', 'Europe', 'France']"
"poe","https://poe.com/","textarea[placeholder='Start a new chat']","pressKey","Enter","[class^='DropdownMenuButton']:nth-child(2),path[d='m21.205 7.556-5.291-5.265A.995.995 0 0 0 15.209 2h-6.5a1 1 0 0 0-1 1v2.235h2V4h4.503v4.265a1 1 0 0 0 1 1H19.5v5.5h-1.209v2H20.5a1 1 0 0 0 1-1v-7.5a.998.998 0 0 0-.295-.709Zm-4.993-2.147 1.865 1.856h-1.865V5.409Z']","[class^='ChatMessagesView'] > [class^='ChatMessage']:nth-child(2)","","","false","✅","⏩","['tier3', 'USA']"
"DuckDuckGo","https://duckduckgo.com/aichat","textarea[name='user-prompt']","pressKey","Enter","button[data-copyairesponse='true']","","","","false","✅","⏩","['tier3', 'USA']"
"DeepAI","https://deepai.org/chat","textarea[class='chatbox']","pressKey","Enter","button.copytextButton:nth-child(1)","","","","false","✅","⏩","['tier4', 'USA']"
"cloudflare","https://playground.ai.cloudflare.com/","textarea[placeholder='Enter a message...']","click","","","","li:nth-of-type(2) textarea","button.bg-ai-loop","false","✅","✅","['tier3', 'USA']"
"Pi","https://pi.ai/discover","textarea[enterkeyhint='enter']","pressKey","Enter","","","","","false","✅","⏩","['tier3', 'USA']"
"you.com","https://you.com/","textarea#search-input-textarea","pressKey","Enter","button[data-testid='copy-button']","","","","false","✅","⏩","['tier3', 'USA']"
"Blackbox.ai","https://www.blackbox.ai/","textarea#chat-input-box","pressKey","Enter","button.w-8:nth-child(5)","","","","false","✅","⏩","['tier4', 'USA']"
"Cerebras","https://inference.cerebras.ai/","textarea[data-testid='chat-textarea']","pressKey","Enter","svg[data-testid='copy-icon']","","","","false","✅","⏩","['tier5', 'USA']"
"HuggingChat","https://huggingface.co/chat/","textarea[inputmode='text']","pressKey","Enter","button[title='Copy to clipboard']","div[data-message-role='assistant']","","","false","✅","⏩","['tier3', 'USA']"
"deepseek","https://chat.deepseek.com/","textarea[id='chat-input']","pressKey","Enter","div.ds-flex > div.ds-flex > div:nth-child(1).ds-icon-button","","","","false","❌","⏩","['tier3', 'China']"
"deepinfra","https://deepinfra.com/chat","textarea[aria-label='chatbot input prompt']","pressKey","Enter","","","","","false","✅","⏩","['tier4', 'USA']"
"ChatOn","https://chat.chaton.ai/","textarea#message","pressKey","Enter",".flex:nth-child(2) > .flex > .copy > .icon-copy","","","","false","❌","⏩","['tier4']"
"doubao","https://www.doubao.com/chat/","textarea[data-testid='chat_input_input']","pressKey","Enter","","","","","false","✅","⏩","['tier4', 'China', 'Baidu']"
"kimi","https://kimi.moonshot.cn/","div[class='chat-input-editor']","pressKey","Enter",".segment-actions-content-btn:nth-child(1) > span","","","","false","❌","⏩","['tier4', 'China']"
"tongyi","https://tongyi.aliyun.com/","textarea.ant-input","pressKey","Enter","[*|href='#tongyi-copy-line']","","","","false","✅","⏩","['tier4', 'China', 'Alibaba']"
"ChatGLM","https://chatglm.cn/","textarea[slot='reference']","pressKey","Enter","","","","","false","✅","⏩","['tier4', 'China']"
"yiyan","https://yiyan.baidu.com/","div.yc-editor","pressKey","Enter","","","","","false","✅","⏩","['tier4', 'China', 'Baidu']"